week,boatname,boatlength,extrarequest,skipperpno,skippername,skipperaddress,crewpno,crewname,crewaddress
6,Janet,17,Gin + Tonic,330,Jaspal Jensen,jj1@reeves.org,157,Barbara Oosterbaan,bo1@ogunbadejo.co.uk
6,Kirsty,25,(no extras),277,Paul Gronbach,pg1@coyle.org,346,Martin Finlayson,mf1@neroupos.co.de
6,Kirsty,25,(no extras),277,Paul Gronbach,pg1@coyle.org,35,Francis Adair,fa1@wilson.org
6,Kirsty,25,(no extras),277,Paul Gronbach,pg1@coyle.org,193,Alan Steele,as1@reeves.org
6,Kirsty,25,(no extras),277,Paul Gronbach,pg1@coyle.org,128,Rolf Swarbrick,rs1@mcdougal.com
6,Mhairi,20,(no extras),297,Fiona Russell,fr1@anderson.co.de,372,Ann Hart,ah1@bliss.co.uk
6,Mhairi,20,(no extras),297,Fiona Russell,fr1@anderson.co.de,41,Philip Corcoran,pc1@mcdonald.co.nl
7,Abigail,18,(no extras),107,Maurice Cumming,mc1@deans.co.uk,360,Roslyn Owen,ro1@ford.com
7,Beatrix,25,(no extras),253,Wendy Campbell,wc1@downie.org,59,Mandy Higgs,mh1@howie.co.de
7,Beatrix,25,(no extras),253,Wendy Campbell,wc1@downie.org,388,Sonya Alcock,sa1@heyes.org
7,Beatrix,25,(no extras),253,Wendy Campbell,wc1@downie.org,507,Brenda Perkins,bp1@kessler.co.de
7,Beatrix,25,(no extras),253,Wendy Campbell,wc1@downie.org,31,Gordon Lee,gl1@wilson.org
7,Caroline,19,Hot water bottles,456,Richard Edwards,re1@lewis.com,378,Ian Cogan,ic1@bettis.com
7,Caroline,19,Hot water bottles,456,Richard Edwards,re1@lewis.com,387,Andrew Stokes,as1@fraser.co.de
7,Deirdre,17,(no extras),579,Neil Rahmanzadeh,nr1@murdoch.co.de,596,Ling Kellett,lk1@morrison.co.uk
7,Estella,20,Champagne,26,Simon Telfer,st1@hendry.co.nl,228,Alison Brown,ab1@ast.co.uk
7,Estella,20,Champagne,26,Simon Telfer,st1@hendry.co.nl,100,Brian Harvie,bh1@ford.com
7,Fiona,16,(no extras),540,Soh Shaw,ss1@lothian.co.uk,142,Lynne Davidson,ld1@deans.co.uk
7,Gail,25,Rum,95,Margaret Walton,mw1@maclellan.co.uk,136,Murray Paton,mp1@daymond.com
7,Gail,25,Hot water bottles,95,Margaret Walton,mw1@maclellan.co.uk,136,Murray Paton,mp1@daymond.com
7,Gail,25,Rum,95,Margaret Walton,mw1@maclellan.co.uk,367,Seyed Barclay,sb1@mcbride.com
7,Gail,25,Hot water bottles,95,Margaret Walton,mw1@maclellan.co.uk,367,Seyed Barclay,sb1@mcbride.com
7,Gail,25,Rum,95,Margaret Walton,mw1@maclellan.co.uk,195,Naser Arthur,na1@williamson.co.fr
7,Gail,25,Hot water bottles,95,Margaret Walton,mw1@maclellan.co.uk,195,Naser Arthur,na1@williamson.co.fr
7,Gail,25,Rum,95,Margaret Walton,mw1@maclellan.co.uk,106,Anthony Kwan,ak1@kessler.co.de
7,Gail,25,Hot water bottles,95,Margaret Walton,mw1@maclellan.co.uk,106,Anthony Kwan,ak1@kessler.co.de
7,Heather,22,(no extras),557,Damon Gordon,dg1@sigurdardottir.co.uk,313,Stephen Venables,sv1@monks.org
7,Heather,22,(no extras),557,Damon Gordon,dg1@sigurdardottir.co.uk,49,Margaret McLaughlin,mm1@barnett.co.uk
7,Heather,22,(no extras),557,Damon Gordon,dg1@sigurdardottir.co.uk,110,Edward Cumming,ec1@fanutti.co.de
7,Isobel,20,(no extras),445,Christopher Tueje,ct1@gannon.co.uk,366,Richard Birkenhead,rb1@gannon.co.uk
7,Isobel,20,(no extras),445,Christopher Tueje,ct1@gannon.co.uk,421,Maureen Hunt,mh1@sturgeon.co.uk
7,Janet,17,(no extras),449,Frederick Hamilton,fh1@milne.co.fr,12,Drena Gosling,dg1@brown.co.nl
7,Kirsty,25,Flowers,71,Ian Perry,ip1@christodoulou.com,170,Aileen Oderman,ao1@shaw.co.uk
7,Kirsty,25,Flowers,71,Ian Perry,ip1@christodoulou.com,339,Gerard McCreary,gm1@jere.co.fr
7,Kirsty,25,Flowers,71,Ian Perry,ip1@christodoulou.com,140,Nelson Crawford,nc1@knox.co.uk
7,Kirsty,25,Flowers,71,Ian Perry,ip1@christodoulou.com,459,Matthew Jones,mj1@montgomery.org
7,Mhairi,20,(no extras),325,Phillip Agnew,pa1@boyd.com,429,Krista Silcock,ks1@deans.co.uk
7,Mhairi,20,(no extras),325,Phillip Agnew,pa1@boyd.com,498,Yvette Clingan,yc1@bain.org
8,Abigail,18,Hot water bottles,126,Dorothy Adamson,da1@williamson.co.fr,408,Sean McKay,sm1@gordon.co.nl
8,Beatrix,25,Gin + Tonic,10,Deborah Pentland,dp1@downie.org,347,George Billinghame,gb1@coyle.org
8,Beatrix,25,Gin + Tonic,10,Deborah Pentland,dp1@downie.org,402,Yvonne Besse,yb1@daymond.com
8,Beatrix,25,Gin + Tonic,10,Deborah Pentland,dp1@downie.org,248,Catherine McQuillan,cm1@ford.com
8,Beatrix,25,Gin + Tonic,10,Deborah Pentland,dp1@downie.org,189,Robert Smith,rs1@burns.co.nl
8,Caroline,19,(no extras),447,Jane Taylor,jt1@downie.org,353,Hamid Curry,hc1@shaw.co.uk
8,Caroline,19,(no extras),447,Jane Taylor,jt1@downie.org,385,Barry Ross,br1@bain.org
8,Deirdre,17,(no extras),264,Angela Tuckwood,at1@pryde.co.de,152,Jody Palmer,jp1@fanutti.co.de
8,Estella,20,Champagne,207,Terence Montgomery,tm1@brown.co.nl,535,Steven Henderson,sh1@reid.com
8,Estella,20,Champagne,207,Terence Montgomery,tm1@brown.co.nl,136,Murray Paton,mp1@daymond.com
8,Fiona,16,(no extras),473,Louise Fieldsend,lf1@lyons.co.nl,60,Cynthia Whitten,cw1@currie.com
8,Gail,25,Champagne,167,Thomas Hodgman,th1@mckellar.com,509,Colin Badham,cb1@sebban.org
8,Gail,25,Flowers,167,Thomas Hodgman,th1@mckellar.com,509,Colin Badham,cb1@sebban.org
8,Gail,25,Champagne,167,Thomas Hodgman,th1@mckellar.com,587,Peter Watt,pw1@mbweza.org
8,Gail,25,Flowers,167,Thomas Hodgman,th1@mckellar.com,587,Peter Watt,pw1@mbweza.org
8,Gail,25,Champagne,167,Thomas Hodgman,th1@mckellar.com,262,Hugh Hope,hh1@barnett.co.uk
8,Gail,25,Flowers,167,Thomas Hodgman,th1@mckellar.com,262,Hugh Hope,hh1@barnett.co.uk
8,Gail,25,Champagne,167,Thomas Hodgman,th1@mckellar.com,15,James Sinclair,js1@anderson.co.fr
8,Gail,25,Flowers,167,Thomas Hodgman,th1@mckellar.com,15,James Sinclair,js1@anderson.co.fr
8,Heather,22,Rum,536,Judith Slinger,js1@mitchell.co.uk,9,Aileen Chaudhry,ac1@fraser.co.de
8,Heather,22,Rum,536,Judith Slinger,js1@mitchell.co.uk,75,Karen Gledhill,kg1@deans.co.uk
8,Heather,22,Rum,536,Judith Slinger,js1@mitchell.co.uk,455,Matthew Campbell,mc1@jones.org
8,Isobel,20,Chocolates,52,Alison Tardif,at1@mcphee.co.uk,507,Brenda Perkins,bp1@kessler.co.de
8,Isobel,20,Chocolates,52,Alison Tardif,at1@mcphee.co.uk,351,Sheldon Forziati,sf2@knox.co.uk
8,Janet,17,Gin + Tonic,279,Stephen Selig,ss1@suliman.com,88,Lesley Duggan,ld1@milne.co.fr
8,Janet,17,Rum,279,Stephen Selig,ss1@suliman.com,88,Lesley Duggan,ld1@milne.co.fr
8,Mhairi,20,(no extras),37,Jean Clark,jc1@trick.co.nl,273,Anne Hodgman,ah1@bettis.com
8,Mhairi,20,(no extras),37,Jean Clark,jc1@trick.co.nl,108,Graham Clarke,gc1@kessler.co.de
9,Abigail,18,Champagne,304,Sarah Elsom,se1@murrie.com,221,Janice Allan,ja1@murdoch.co.de
9,Beatrix,25,Champagne,466,Christopher Tsang,ct1@fraser.co.de,356,Heather Selvamurthy,hs1@reeves.org
9,Beatrix,25,Chocolates,466,Christopher Tsang,ct1@fraser.co.de,356,Heather Selvamurthy,hs1@reeves.org
9,Beatrix,25,Champagne,466,Christopher Tsang,ct1@fraser.co.de,143,Colin Milne,cm1@stewart.org
9,Beatrix,25,Chocolates,466,Christopher Tsang,ct1@fraser.co.de,143,Colin Milne,cm1@stewart.org
9,Beatrix,25,Champagne,466,Christopher Tsang,ct1@fraser.co.de,341,Stephen Dowell,sd1@burns.co.nl
9,Beatrix,25,Chocolates,466,Christopher Tsang,ct1@fraser.co.de,341,Stephen Dowell,sd1@burns.co.nl
9,Beatrix,25,Champagne,466,Christopher Tsang,ct1@fraser.co.de,415,Denise Thompson,dt1@smith.org
9,Beatrix,25,Chocolates,466,Christopher Tsang,ct1@fraser.co.de,415,Denise Thompson,dt1@smith.org
9,Caroline,19,Rum,312,Joy Batish,jb1@maniar.com,364,Nicola Pilling,np1@shanks.co.nl
9,Caroline,19,Rum,312,Joy Batish,jb1@maniar.com,558,Averill Strain,as1@bain.org
9,Deirdre,17,Hot water bottles,161,Maureen Stern,ms1@bain.org,293,Jacqueline Ross,jr1@neroupos.co.de
9,Estella,20,Mineral water,406,Jorge Jones,jj1@harris.org,211,Susan Stewart,ss1@sigurdardottir.co.uk
9,Estella,20,Mineral water,406,Jorge Jones,jj1@harris.org,494,Linnet Lewis,ll1@dods.com
9,Fiona,16,(no extras),442,Graham Latham,gl1@bruce.co.nl,592,Catherine Kane,ck1@inman.co.nl
9,Gail,25,Flowers,117,John George,jg1@spence.co.nl,188,Debra Ojekwe,do1@deans.co.uk
9,Gail,25,Chocolates,117,John George,jg1@spence.co.nl,188,Debra Ojekwe,do1@deans.co.uk
9,Gail,25,Hot water bottles,117,John George,jg1@spence.co.nl,188,Debra Ojekwe,do1@deans.co.uk
9,Gail,25,Flowers,117,John George,jg1@spence.co.nl,29,David Pile,dp1@scott.co.uk
9,Gail,25,Chocolates,117,John George,jg1@spence.co.nl,29,David Pile,dp1@scott.co.uk
9,Gail,25,Hot water bottles,117,John George,jg1@spence.co.nl,29,David Pile,dp1@scott.co.uk
9,Gail,25,Flowers,117,John George,jg1@spence.co.nl,84,Mariel Hutchins,mh1@liao.co.fr
9,Gail,25,Chocolates,117,John George,jg1@spence.co.nl,84,Mariel Hutchins,mh1@liao.co.fr
9,Gail,25,Hot water bottles,117,John George,jg1@spence.co.nl,84,Mariel Hutchins,mh1@liao.co.fr
9,Gail,25,Flowers,117,John George,jg1@spence.co.nl,413,Wendy McGowan,wm1@fraser.co.de
9,Gail,25,Chocolates,117,John George,jg1@spence.co.nl,413,Wendy McGowan,wm1@fraser.co.de
9,Gail,25,Hot water bottles,117,John George,jg1@spence.co.nl,413,Wendy McGowan,wm1@fraser.co.de
9,Heather,22,Mineral water,542,Jonathan Wallace,jw1@bruce.co.nl,37,Jean Clark,jc1@trick.co.nl
9,Heather,22,Mineral water,542,Jonathan Wallace,jw1@bruce.co.nl,441,Joel Ridgway,jr1@knox.co.uk
9,Heather,22,Mineral water,542,Jonathan Wallace,jw1@bruce.co.nl,204,Robert Earl,re1@hendry.co.nl
9,Isobel,20,(no extras),226,Alison Bain,ab1@maniar.com,350,Helen Bargh,hb1@sharp.com
9,Isobel,20,(no extras),226,Alison Bain,ab1@maniar.com,93,Robert McDonald,rm1@deans.co.uk
9,Janet,17,Rum,147,Valerie Anderson,va1@stewart.org,329,Hilary Finn,hf1@fraser.co.de
9,Kirsty,25,(no extras),75,Karen Gledhill,kg1@deans.co.uk,280,Lindsay Wood,lw1@ward.co.nl
9,Kirsty,25,(no extras),75,Karen Gledhill,kg1@deans.co.uk,123,Rupert Maher,rm1@shanks.co.nl
9,Kirsty,25,(no extras),75,Karen Gledhill,kg1@deans.co.uk,118,Zaki Sawyer,zs1@dods.com
9,Kirsty,25,(no extras),75,Karen Gledhill,kg1@deans.co.uk,518,Michele Younger,my1@smith.org
9,Mhairi,20,Flowers,191,Razvan Bell,rb1@jere.co.fr,409,Anne Saupin,as1@sturgeon.co.uk
9,Mhairi,20,Flowers,191,Razvan Bell,rb1@jere.co.fr,299,Alexandra Waddell,aw1@harris.org
10,Abigail,18,(no extras),69,Beverley Forrester,bf1@daymond.com,288,Andrew Das,ad1@rice.co.de
10,Beatrix,25,(no extras),301,Susan Renwick,sr1@inman.co.nl,473,Louise Fieldsend,lf1@lyons.co.nl
10,Beatrix,25,(no extras),301,Susan Renwick,sr1@inman.co.nl,291,Mary Lim,ml1@reid.com
10,Beatrix,25,(no extras),301,Susan Renwick,sr1@inman.co.nl,586,Gary Fitzsimons,gf1@valencia.org
10,Beatrix,25,(no extras),301,Susan Renwick,sr1@inman.co.nl,341,Stephen Dowell,sd1@burns.co.nl
10,Caroline,19,Champagne,589,Alison Erard,ae1@monks.org,68,Derick Clitheroe,dc1@mok.co.uk
10,Caroline,19,Chocolates,589,Alison Erard,ae1@monks.org,68,Derick Clitheroe,dc1@mok.co.uk
10,Caroline,19,Mineral water,589,Alison Erard,ae1@monks.org,68,Derick Clitheroe,dc1@mok.co.uk
10,Caroline,19,Champagne,589,Alison Erard,ae1@monks.org,6,John Pardey,jp1@lyons.co.nl
10,Caroline,19,Chocolates,589,Alison Erard,ae1@monks.org,6,John Pardey,jp1@lyons.co.nl
10,Caroline,19,Mineral water,589,Alison Erard,ae1@monks.org,6,John Pardey,jp1@lyons.co.nl
10,Deirdre,17,Chocolates,400,Marie McKean,mm1@jere.co.fr,108,Graham Clarke,gc1@kessler.co.de
10,Deirdre,17,Hot water bottles,400,Marie McKean,mm1@jere.co.fr,108,Graham Clarke,gc1@kessler.co.de
10,Estella,20,(no extras),218,Kaori Furnival,kf1@smith.com,564,Simon Wilson,sw1@downie.org
10,Estella,20,(no extras),218,Kaori Furnival,kf1@smith.com,117,John George,jg1@spence.co.nl
10,Fiona,16,(no extras),191,Razvan Bell,rb1@jere.co.fr,229,Michael Watt,mw1@tibbetts.org
10,Gail,25,(no extras),479,Rhona Findlay,rf1@scott.co.uk,379,Ursula Mak,um1@mcaleese.org
10,Gail,25,(no extras),479,Rhona Findlay,rf1@scott.co.uk,203,Sandra Downie,sd1@sharp.com
10,Gail,25,(no extras),479,Rhona Findlay,rf1@scott.co.uk,320,Jane McQuaid,jm1@daymond.com
10,Gail,25,(no extras),479,Rhona Findlay,rf1@scott.co.uk,141,Claire Malone,cm1@barnett.co.uk
10,Heather,22,Champagne,393,Heather Rotru,hr1@gannon.co.uk,107,Maurice Cumming,mc1@deans.co.uk
10,Heather,22,Gin + Tonic,393,Heather Rotru,hr1@gannon.co.uk,107,Maurice Cumming,mc1@deans.co.uk
10,Heather,22,Champagne,393,Heather Rotru,hr1@gannon.co.uk,202,Nicola Muir,nm1@trail.co.de
10,Heather,22,Gin + Tonic,393,Heather Rotru,hr1@gannon.co.uk,202,Nicola Muir,nm1@trail.co.de
